All installed packages:
1password-beta 8.10.39_2.BETA-2
gtk-vnc 1.3.1-1
gtk2 2.24.33-4
gtk3 1:3.24.43-1
gtk4 1:4.15.4-2
gtkmm-4.0 4.14.0-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gtksourceview5 5.13.1-1
gtkspell 2.0.16-8
gts 0.7.6.121130-2
gufw 24.04-2
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gutenprint 5.3.4-3
gvfs 1.55.90-1
gvfs-afc 1.55.90-1
gvfs-dnssd 1.55.90-1
gvfs-goa 1.55.90-1
gvfs-google 1.55.90-1
gvfs-gphoto2 1.55.90-1
gvfs-mtp 1.55.90-1
gvfs-nfs 1.55.90-1
gvfs-onedrive 1.55.90-1
gvfs-smb 1.55.90-1
gvfs-wsdd 1.55.90-1
gyp 20230914.a03d7413-2
gzip 1.13-4
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
haskell-adjunctions 4.4.2-96
haskell-aeson 2.1.2.1-49
haskell-aeson-pretty 0.8.10-9
haskell-ansi-terminal 0.11.4-66
haskell-ansi-wl-pprint 0.6.9-418
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-230
haskell-asn1-parse 0.9.5-230
haskell-asn1-types 0.3.4-209
haskell-assert-failure 0.1.3.0-2
haskell-assoc 1.0.2-270
haskell-async 2.2.5-27
haskell-attoparsec 0.14.4-74
haskell-attoparsec-aeson 2.1.0.0-33
haskell-attoparsec-iso8601 1.1.0.0-50
haskell-auto-update 0.1.6-339
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-83
haskell-base-orphans 0.8.8.2-13
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-80
haskell-base64 0.4.2.4-69
haskell-base64-bytestring 1.2.1.0-104
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-81
haskell-binary-orphans 1.0.4.1-43
haskell-bitvec 1.1.3.0-96
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.1.2-226
haskell-blaze-markup 0.8.3.0-10
haskell-boring 0.2.1-3
haskell-bsb-http-chunked 0.0.0.4-383
haskell-byteorder 1.0.4-25
haskell-bytes 0.17.3-39
haskell-call-stack 0.4.0-184
haskell-case-insensitive 1.2.1.0-203
haskell-cassava 0.5.3.1-6
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-107
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-210
haskell-commonmark 0.2.4.1-1
haskell-commonmark-extensions 0.2.4-2
haskell-commonmark-pandoc 0.2.1.3-84
haskell-comonad 5.0.8-265
haskell-conduit 1.3.5-55
haskell-conduit-extra 1.3.6-136
haskell-constraints 0.13.4-50
